Gene,t_stat,p_value,mean_PD,mean_Influenza,FDR_BH,log2FC
CALM1,31.23348747343657,4.9022396749683775e-15,4567.245150083334,519.4073910333334,2.0589406634867185e-11,3.1339267164497446
CRBN,28.568245874997025,3.429434072128797e-15,988.6352915,261.521867625,2.0589406634867185e-11,1.9144593475214844
DOCK11,27.634851360778608,2.3809751085753767e-15,1908.9440279583334,507.9622360833334,2.0589406634867185e-11,1.907899839369808
TMEM115,-23.91728964173001,7.20115568673339e-15,186.445458275,368.15443250000004,2.2683640413210182e-11,-0.9777536111532656
S100A4,24.09922923903982,1.0399671937023187e-14,12671.617063499998,1051.729806375,2.620717328129843e-11,3.5895073840201572
RAB31,24.650470473104917,1.2955986904801546e-14,2480.0782965,658.2781343333334,2.7207572500083248e-11,1.9120081249859027
RNF125,23.23577717157311,1.9106753763186904e-14,641.4100181250001,106.87801554166666,3.439215677373643e-11,2.574093503287532
CDV3,27.710182579519163,2.4157151979599798e-14,1374.8703425833332,503.7944803333333,3.604121607710834e-11,1.4465764812980275
AKTIP,23.921947052473005,2.5743725769363098e-14,516.2934808333333,140.59699668333332,3.604121607710834e-11,1.869192344428539
GLTP,23.464044272814782,3.8032685633130264e-14,1708.511622625,511.28961962500006,4.696318007174576e-11,1.7385526671046243
HCST,21.306933533429234,4.0999601649936774e-14,3636.2647575833334,519.4516426666668,4.696318007174576e-11,2.805017915767266
PLCL2,20.74717721396878,5.143582400684718e-14,1105.0930444,342.2014172166667,5.400761520718954e-11,1.688345334562129
CD52,26.320214133768,6.744554594812245e-14,5752.817266083333,355.179168625,6.53702983804879e-11,4.013844356602762
ITPKB,20.26742590643289,8.210879257990422e-14,306.5788180416667,99.70840970833333,7.389791332191379e-11,1.6107719916019159
GPD1L,22.212957605033974,9.202633882006888e-14,639.0402541833334,121.2927380833333,7.730212460885785e-11,2.3878239065560027
ARHGEF1,21.97842228424533,1.0239160075734467e-13,458.5681741666667,141.23206175,8.063338559640892e-11,1.6920321806065033
YTHDC1,19.79825699011063,1.1488220786269566e-13,2121.883852916667,604.9022749583334,8.514798935705677e-11,1.8088684132451025
ARFGEF1,19.928973186412566,1.5276680094103938e-13,449.093377,261.22401608333337,1.0693676065872757e-10,0.7794245135506497
SDAD1,21.306760156340875,1.7719420796699608e-13,1457.8730465,801.364091175,1.1163235101920753e-10,0.8625253966015478
ZNF672,-27.767931076440767,1.738027894055019e-13,222.04684079166663,973.8771744166667,1.1163235101920753e-10,-2.1278737498685496
RAC1,21.948487483448808,2.2163909307482047e-13,1862.5221199583334,873.401917125,1.1636052386428075e-10,1.0916634746876053
S100A10,24.71502011754876,2.0486050485051157e-13,6219.332450416667,1561.6560907916667,1.1636052386428075e-10,1.9929913832748127
LRRC37B,28.890015881885017,2.1993011003820411e-13,520.4705283333333,118.26255646666667,1.1636052386428075e-10,2.1284445517701016
THUMPD1,19.152179811197392,2.1058804666322863e-13,728.6513333333332,344.11691583333334,1.1636052386428075e-10,1.0801220424379245
REEP5,21.595482906084023,2.547768935971689e-13,1901.0053554166668,347.03051538333335,1.2840755437297315e-10,2.4502355958406934
ABCC5,21.821504913918893,2.963249906203137e-13,189.69356133333335,67.130447375,1.4360364930061355e-10,1.4848845473515242
FGD3,21.261278241133176,3.1009079671172846e-13,2711.24184125,396.2587060416667,1.4470903846547328e-10,2.7713350822304346
STK24,19.222398010601317,4.21305281295507e-13,1629.7832915,607.3395622083333,1.8958737658297815e-10,1.4226163453025933
MRFAP1L1,25.5226464778137,5.48929742485168e-13,2071.6717128333335,511.70360666666664,2.3850050880390056e-10,2.015294676704011
ADD3,32.311525481258265,7.146406716414286e-13,1867.7992806666668,240.71312337500004,2.934330380722922e-10,2.9507439151628905
MATR3,22.660256357843696,7.219384270032587e-13,2421.257558916667,1067.7652110416666,2.934330380722922e-10,1.1804073220262818
DOCK8,20.003002442322625,9.25530015698008e-13,1599.09390475,466.98856700000005,3.644274436810907e-10,1.7736113848854096
