Gene,t_stat,p_value,mean_PD,mean_Influenza,FDR_BH,log2FC
ATP2B4,44.19928612379438,5.629291507391246e-10,549.3135141666666,86.59706299999999,7.670472607971312e-06,2.6512993533545224
CSF1R,63.439907513027556,1.689352177076702e-09,2676.8029699999997,161.18907983333332,8.660270054585851e-06,4.045301221048924
CRBN,29.888692913029413,1.9067085104768495e-09,986.208368,238.195897,8.660270054585851e-06,2.045161980677581
LEPROTL1,24.91045086945556,1.0385201932844812e-08,1817.6095819999998,284.2650083333333,3.537719038423585e-05,2.6724611627880765
ATP6V1H,-24.38789172852529,1.939653458866246e-08,141.10800016666667,511.95343199999996,3.7581875808562444e-05,-1.8518400826681667
PGS1,26.37972590352559,2.739138439058807e-08,463.83970666666664,214.95990566666666,3.7581875808562444e-05,1.1059698174823138
RARRES3,21.03378052907521,2.8988677175985513e-08,2900.881366666667,452.20785000000006,3.7581875808562444e-05,2.678743785671612
ZNF175,-22.29400867578973,1.750220092434341e-08,93.632069,266.58479993333333,3.7581875808562444e-05,-1.4995950931701953
NKIRAS2,-23.385044163402185,2.3385555351406288e-08,102.78595666666665,215.86068428571426,3.7581875808562444e-05,-1.0631572785444652
PWWP2B,21.4720267231036,3.0339104204769326e-08,124.47452466666668,71.64417063333333,3.7581875808562444e-05,0.7884755429139423
IMP4,-22.001023748101986,2.0213531243557853e-08,555.1074140000001,1376.8724300000001,3.7581875808562444e-05,-1.3090068463073727
C19ORF52,-23.632228499431502,3.6911707667060815e-08,78.35509133333332,232.0418633333333,4.191324405594756e-05,-1.5541944491644983
ZDHHC16,-36.42509027616381,5.2552457193656365e-08,271.213424,740.6515966666667,4.899936678323789e-05,-1.4460034016653402
VHL,23.436782870048898,5.195543444066774e-08,690.0874333333334,250.25702066666668,4.899936678323789e-05,1.4597043366861735
EIF3K,19.722316201168034,5.3940298088108646e-08,2791.7382320000006,1154.2617273333335,4.899936678323789e-05,1.273460619033715
GALC,18.63443021515736,7.718558097583185e-08,670.8737093333333,258.1659741666666,6.57331703985428e-05,1.3743137585821366
SORL1,19.66170010130016,8.450193767072491e-08,1005.3708900000001,134.94352866666668,6.732585787687419e-05,2.8880827155901114
CD3G,17.982795786394036,9.71666969521823e-08,227.63514033333337,62.868856166666674,6.732585787687419e-05,1.8398626387257018
REEP5,19.03723383334428,1.0706395014038764e-07,1791.93327,230.68938033333333,6.732585787687419e-05,2.952057970732578
RPN1,-17.844807252865383,1.0870166397264289e-07,1760.5992333333331,3425.9228783333333,6.732585787687419e-05,-0.9600279787506008
AUP1,17.760446605247076,1.034958598983057e-07,423.37537599999996,180.22028433333335,6.732585787687419e-05,1.227596499557289
CYP51A1,-23.12491125815849,9.606099925854986e-08,106.95681750000001,468.4876956666667,6.732585787687419e-05,-2.120632995433918
TMEM97,-16.95449720547252,1.528163282303124e-07,147.649916,446.5570133333334,7.043392812081663e-05,-1.5901528279289225
IGBP1P1,19.955114348475824,1.252933734564229e-07,340.01143650000006,85.7691885,7.043392812081663e-05,1.9745653820414963
AES,17.54439123831331,1.5394024234288105e-07,1768.4539726666667,480.1904886666666,7.043392812081663e-05,1.8786242033938958
TLR10,17.885571977783687,1.4284061830826067e-07,187.29860116666669,60.88404133333332,7.043392812081663e-05,1.6053829624109852
KLRC3,35.99194466688693,1.406076794536694e-07,257.943541,48.119468166666664,7.043392812081663e-05,2.398270727469871
RCBTB2,23.512046059793473,1.293391830499126e-07,434.09989733333333,71.56958833333334,7.043392812081663e-05,2.5839096852829524
SUSD3,18.892861953552476,1.204949019673228e-07,273.029749,70.36474586666668,7.043392812081663e-05,1.941049057374606
CALM1,31.08401617441513,1.5507249696348886e-07,4311.518260000001,415.7494066666667,7.043392812081663e-05,3.3712785150928326
CHTOP,-16.80897492021081,1.6825545984877775e-07,306.5349550000001,826.2069033333333,7.164527799685768e-05,-1.4274978263050837
HIBADH,17.494301973916656,1.6761324157720325e-07,402.1846586666666,131.01245795238094,7.164527799685768e-05,1.6107666623261787
TGS1,-18.455743001486436,1.76135633267373e-07,78.75756633333333,158.77903833333335,7.272800420912801e-05,-1.0023848570869296
GLTP,18.170847066016204,1.8621678033367505e-07,1723.9628526666668,453.23462666666666,7.4629113200784e-05,1.925055700432317
AKTIP,18.146292045391203,1.965365639961994e-07,515.090919,136.03592933333334,7.651449202892037e-05,1.9130710437995981
ZNF672,-17.561103940483935,2.0878436046854721e-07,217.70068166666664,918.8821455000001,7.688907285795742e-05,-2.0724913190566303
RFWD2,18.022350879436686,2.0576784205124534e-07,890.0364466666667,489.666316,7.688907285795742e-05,0.8607422099812769
CDV3,18.484688773294618,2.159829471586215e-07,1374.3554936666667,480.35455249999995,7.712743707586303e-05,1.5146327259541916
TBC1D2B,18.37431193450513,2.2075224174069123e-07,509.9445466666667,131.19840061904762,7.712743707586303e-05,1.9504619997544674
LILRA6,27.471167968435303,2.3592087851979253e-07,182.48847933333334,61.71580933333333,7.968082610430433e-05,1.5487884166219006
SARAF,15.948344785610496,2.397558983029853e-07,8933.096994000001,2571.6147966666663,7.968082610430433e-05,1.7960864621960777
SMYD2,20.949348520751947,2.50559168747092e-07,262.2503253333333,113.67811083333333,7.977942663685681e-05,1.1988452707430275
RNF130,15.86096068904389,2.571476769221174e-07,782.914198,278.2326025000001,7.977942663685681e-05,1.4892283583957564
MID2,18.462474878959096,2.5761740584336557e-07,101.66863266666667,54.60285566666666,7.977942663685681e-05,0.8847645923171283
SIPA1L1,-18.981499660898873,2.707737122378559e-07,73.20775253333332,149.73038533333334,8.199028006562276e-05,-1.02232845612588
GRK2,33.297249559106284,2.8435927988560965e-07,3063.9852366666664,546.7486613333333,8.423216408089819e-05,2.4842941663329547
POLR3GL,15.850060601621388,2.994150237027313e-07,1502.2038333333335,545.2453266666665,8.680487474411525e-05,1.4604197139223043
MMAA,-16.316263095945363,3.206154066854214e-07,93.6409745,225.710356,9.101469857282401e-05,-1.2603134600505612
CLASP1,-21.692020909370616,3.2805613766721506e-07,286.2815538333333,689.2673692,9.122638636435659e-05,-1.2646899245007397
CASZ1,-15.272290583112602,3.3516112605009125e-07,136.45821566666666,371.6146496666667,9.133811007117086e-05,-1.43869125909867
P4HTM,20.321610612760495,3.7584350200472926e-07,199.21741566666665,65.009967,9.686362575265135e-05,1.6008116887482924
RPL22,15.07719842147694,3.7293638320816725e-07,2898.031926,572.9921533333334,9.686362575265135e-05,2.3364683013506617
CKAP5,19.678097983261715,3.767629652789169e-07,705.8194883333334,261.92436633333335,9.686362575265135e-05,1.4266939693203575
OAS2,-21.78898126616727,4.022136376609319e-07,543.3438166666667,3133.3541726666667,0.00010149190790310848,-2.5255781344338004
PTEN,15.684362370295398,4.187449551059537e-07,1297.30369,431.11621066666675,0.00010374215924134045,1.5871366286311872
ZYG11B,15.306853580819354,4.530967368814098e-07,541.2790013333333,164.71043133333336,0.00010876827660489327,1.7103708840964202
